GPT category single,Rule topic single cleaned,Count
News,NSFW,12
News,Advertising & Commercialization,9
News,Automated tools,9
News,Impersonation,8
News,Links & Outside Content,6
News,Off-topic/topic specific,6
News,Trolling,6
News,Dogpiling,4
News,Reposting/Crossposting,3
News,Copyright/ Piracy,2
News,Not Applicable,1
Organization,Hate Speech,367
Organization,Harassment,249
Organization,Illegal Content,190
Organization,Incitement of Violence,147
Organization,NSFW,138
Organization,Mis/Disinformation/Conspiracy,131
Organization,Doxxing/ Personal Info,117
Organization,Content Warnings,113
Organization,Spam,111
Organization,Images,102
Organization,Advertising & Commercialization,89
Organization,Automated tools,42
Organization,Links & Outside Content,42
Organization,Copyright/ Piracy,33
Organization,Dogpiling,33
Organization,Off-topic/topic specific,31
Organization,Impersonation,30
Organization,Trolling,30
Organization,Not Applicable,20
Organization,Reposting/Crossposting,12
Personal,Hate Speech,242
Personal,Harassment,127
Personal,Illegal Content,116
Personal,Content Warnings,92
Personal,Incitement of Violence,75
Personal,NSFW,66
Personal,Mis/Disinformation/Conspiracy,63
Personal,Images,62
Personal,Spam,60
Personal,Doxxing/ Personal Info,57
Personal,Advertising & Commercialization,34
Personal,Links & Outside Content,20
Personal,Copyright/ Piracy,18
Personal,Trolling,18
Personal,Automated tools,14
Personal,Off-topic/topic specific,13
Personal,Impersonation,12
Personal,Not Applicable,10
Personal,Dogpiling,7
Personal,Reposting/Crossposting,4
Pets,Hate Speech,38
Pets,NSFW,20
Pets,Illegal Content,15
Pets,Content Warnings,14
Pets,Harassment,14
Pets,Doxxing/ Personal Info,12
Pets,Incitement of Violence,9
Pets,Spam,9
Pets,Advertising & Commercialization,7
Pets,Images,7
Pets,Mis/Disinformation/Conspiracy,7
Pets,Impersonation,4
Pets,Off-topic/topic specific,4
Pets,Not Applicable,3
Pets,Automated tools,2
Pets,Copyright/ Piracy,2
Pets,Trolling,2
Pets,Links & Outside Content,1
Pets,Reposting/Crossposting,1
Politics,Hate Speech,42
Politics,Harassment,24
Politics,Illegal Content,20
Politics,NSFW,15
Politics,Content Warnings,13
Politics,Doxxing/ Personal Info,12
Politics,Mis/Disinformation/Conspiracy,10
Politics,Incitement of Violence,9
Politics,Images,8
Politics,Off-topic/topic specific,6
Politics,Spam,6
Politics,Trolling,6
Politics,Advertising & Commercialization,5
Politics,Impersonation,5
Politics,Automated tools,3
Politics,Dogpiling,3
Politics,Copyright/ Piracy,2
Politics,Links & Outside Content,2
Politics,Not Applicable,2
Politics,Reposting/Crossposting,1
Religion,Hate Speech,28
Religion,Harassment,18
Religion,Content Warnings,15
Religion,NSFW,15
Religion,Illegal Content,13
Religion,Spam,11
Religion,Advertising & Commercialization,9
Religion,Images,8
Religion,Incitement of Violence,7
Religion,Mis/Disinformation/Conspiracy,7
Religion,Automated tools,4
Religion,Doxxing/ Personal Info,4
Religion,Links & Outside Content,3
Religion,Not Applicable,3
Religion,Impersonation,2
Religion,Copyright/ Piracy,1
Religion,Reposting/Crossposting,1
Religion,Trolling,1
Self-improvement,Content Warnings,15
Self-improvement,Harassment,12
Self-improvement,Hate Speech,11
Self-improvement,Illegal Content,11
Self-improvement,Mis/Disinformation/Conspiracy,7
Self-improvement,Spam,7
Self-improvement,Advertising & Commercialization,6
Self-improvement,NSFW,6
Self-improvement,Images,5
Self-improvement,Not Applicable,5
Self-improvement,Automated tools,4
Self-improvement,Doxxing/ Personal Info,4
Self-improvement,Incitement of Violence,4
Self-improvement,Links & Outside Content,4
Self-improvement,Copyright/ Piracy,2
Self-improvement,Dogpiling,2
Self-improvement,Impersonation,2
Self-improvement,Trolling,2
Self-improvement,Off-topic/topic specific,1
Sexual Content,NSFW,77
Sexual Content,Hate Speech,64
Sexual Content,Illegal Content,60
Sexual Content,Harassment,51
Sexual Content,Content Warnings,45
Sexual Content,Images,34
Sexual Content,Spam,30
Sexual Content,Doxxing/ Personal Info,22
Sexual Content,Copyright/ Piracy,21
Sexual Content,Incitement of Violence,20
Sexual Content,Advertising & Commercialization,13
Sexual Content,Mis/Disinformation/Conspiracy,9
Sexual Content,Off-topic/topic specific,9
Sexual Content,Links & Outside Content,8
Sexual Content,Reposting/Crossposting,8
Sexual Content,Automated tools,7
Sexual Content,Impersonation,6
Sexual Content,Not Applicable,6
Sexual Content,Trolling,3
Sexual Content,Dogpiling,2
Support,Hate Speech,319
Support,Harassment,191
Support,Content Warnings,144
Support,Illegal Content,144
Support,NSFW,137
Support,Spam,111
Support,Doxxing/ Personal Info,93
Support,Mis/Disinformation/Conspiracy,90
Support,Advertising & Commercialization,85
Support,Incitement of Violence,85
Support,Images,76
Support,Automated tools,40
Support,Not Applicable,36
Support,Copyright/ Piracy,35
Support,Off-topic/topic specific,33
Support,Links & Outside Content,32
Support,Impersonation,26
Support,Trolling,26
Support,Dogpiling,21
Support,Reposting/Crossposting,14
Tech,Hate Speech,486
Tech,Harassment,301
Tech,Illegal Content,276
Tech,NSFW,211
Tech,Spam,198
Tech,Incitement of Violence,184
Tech,Content Warnings,173
Tech,Doxxing/ Personal Info,153
Tech,Mis/Disinformation/Conspiracy,146
Tech,Images,129
Tech,Advertising & Commercialization,125
Tech,Copyright/ Piracy,75
Tech,Automated tools,66
Tech,Impersonation,55
Tech,Off-topic/topic specific,54
Tech,Links & Outside Content,51
Tech,Not Applicable,30
Tech,Trolling,30
Tech,Dogpiling,23
Tech,Reposting/Crossposting,15
