instance,period,timestamp,instance_name,rules,user_count,note
me.pptry.info,jan-feb2023,,,null,,no valid snapshot Jan-Feb 2023
autonomous.zone,jan-feb2023,20230521002618,a federated autonomous zone,"[{""id"": ""2"", ""text"": ""    This server is antifa""}, {""id"": ""3"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, ableism and classism""}, {""id"": ""4"", ""text"": ""This server is anti-capitalist""}, {""id"": ""5"", ""text"": ""Respect the consent of others, no harassment""}, {""id"": ""6"", ""text"": ""No borders, no nations""}, {""id"": ""7"", ""text"": ""Community fridges for all!""}, {""id"": ""8"", ""text"": ""The use of image descriptions and content warnings is greatly appreciated""}]",68,available-blue-dot
med-mastodon.com,jan-feb2023,20221107235909,Med-Mastodon,"[{""id"": ""2"", ""text"": ""No hate speech""}, {""id"": ""3"", ""text"": ""No blatant misinformation""}, {""id"": ""4"", ""text"": ""No PHI""}]",1444,available-blue-dot
functional.cafe,jan-feb2023,20250226195629,Functional Café,"[{""id"": ""1"", ""text"": ""Be friendly, be respectful, stay on-topic and avoid derailing discussions."", ""hint"": """"}, {""id"": ""2"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting."", ""hint"": """"}, {""id"": ""3"", ""text"": ""No spam or advertising."", ""hint"": """"}, {""id"": ""4"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism."", ""hint"": """"}, {""id"": ""5"", ""text"": ""No incitement of violence or promotion of violent ideologies."", ""hint"": """"}, {""id"": ""6"", ""text"": ""No harassment, dogpiling or doxxing of other users on any instance."", ""hint"": """"}, {""id"": ""7"", ""text"": ""No illegal content."", ""hint"": """"}, {""id"": ""8"", ""text"": ""No spreading of fake news or misinformation."", ""hint"": """"}, {""id"": ""9"", ""text"": ""Off-topic toots should have a CW (content warning) description.\r\n\r\nWhile we encourage this behavior, please note that we will not actively seek out untagged toots."", ""hint"": """"}]",828,available-blue-dot
pol.social,jan-feb2023,20240502054309,Pol.social,"[{""id"": ""1"", ""text"": ""Na serwerze obowiązują ogólne zasady Netykiety ( https://pl.wikipedia.org/wiki/Netykieta )\r\nZwracamy się do siebie z szacunkiem.""}, {""id"": ""2"", ""text"": ""Nie dopuszczamy poniższych rzeczy:\r\n- Pornografii\r\n- Przemocy seksualnej\r\n- Homofobii, transfobi, ksenofobi\r\n- Rasizmu, seksizmu\r\n- Fake newsów\r\n- Przemocy w każdej formie do innych użytkowników\r\n- Treści niedozwolonych polskim prawem.""}]",7102,available-blue-dot
cupoftea.social,jan-feb2023,20230201131308,CupOfTea.Social,"[{""id"": ""1"", ""text"": ""Be Respectful, Content that is racist, sexist, hateful, nasty or discriminatory is not welcome.""}, {""id"": ""2"", ""text"": ""No harassment, dogpiling or doxxing of other users""}, {""id"": ""3"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""4"", ""text"": ""Sexually explicit ,violent  or sensitive media must be marked as such when posting\r\n""}, {""id"": ""5"", ""text"": ""No spam , Porn or S**t Posting, Its just not for this server ""}, {""id"": ""6"", ""text"": ""No accounts setup purely to sell something / Fake Engagement (Such As Investments/NFT/Cryptos/Wealth stuff) ""}]",4080,cdx-window
merveilles.town,jan-feb2023,20231113064604,Merveilles,"[{""id"": ""11"", ""text"": ""One must respect the Code of Conduct.""}, {""id"": ""12"", ""text"": ""One must remember the Three Gates Of Speech.\r\n""}, {""id"": ""13"", ""text"": ""One must wear a Black & White avatar.\r\n""}, {""id"": ""14"", ""text"": ""Please read through the rest of this extended about page for more information.""}]",646,available-blue-dot
cosocial.ca,jan-feb2023,,,null,,no valid snapshot Jan-Feb 2023
woof.group,jan-feb2023,,,null,,no valid snapshot Jan-Feb 2023
uuchten.lu,jan-feb2023,,,null,,no valid snapshot Jan-Feb 2023
g0v.social,jan-feb2023,20230323092203,g0v.social,"[{""id"": ""1"", ""text"": ""https://g0v.social/terms""}, {""id"": ""4"", ""text"": ""遵守參與守則 code of conduct https://g0v.hackmd.io/s/COC""}, {""id"": ""5"", ""text"": ""閱讀使用說明 \r\n\r\nhttps://siaulian.wordpress.com/2021/01/14/mastodon-taiwan-user-guide/\r\n""}, {""id"": ""12"", ""text"": ""Taiwan is a country""}, {""id"": ""13"", ""text"": ""閱讀使用說明\r\nhttps://www.notion.so/peilun/Mastodon-9257c3e1cd3f42ae9902d6fc9cda6320""}, {""id"": ""16"", ""text"": ""多說做了什麼，少說看了什麼\r\n\r\nPost what you did, not what you saw""}]",7245,available-blue-dot
social.opensource.org,jan-feb2023,20230302230912,OSI Mastodon,"[{""id"": ""1"", ""text"": ""All posts carried by this server must abide by OSI's Code of Conduct at https://opensource.org/codeofconduct/""}, {""id"": ""2"", ""text"": ""Posts are carried at the absolute discretion of the OSI Executive Director who will remove any post that is considered against the code of conduct or is considered inappropriate and/or suspend access for any user and/or any server.""}]",3,available-blue-dot
oslo.town,jan-feb2023,,,null,,no valid snapshot Jan-Feb 2023
digitalcourage.social,jan-feb2023,20230928000420,digitalcourage.social,"[{""id"": ""6"", ""text"": ""Alle Menschen, die sich für eine lebenswerte Welt engagieren wollen, sind bei uns willkommen. Wir möchten einen respektvollen Umgang miteinander pflegen und gute Gastgeber.innen sein. ""}, {""id"": ""7"", ""text"": ""Sollte uns das einmal nicht gelingen, gehe nicht einfach nur still weg, sondern sprich uns bitte an, damit sich alle Beteiligten bei uns wohlfühlen und einbringen können.""}]",2686,available-blue-dot
sciencemastodon.com,jan-feb2023,,,null,,no valid snapshot Jan-Feb 2023
