,Instance Id,Instance Name,Is Dead,User Count,instance_group,rule count
11293,637b2d34d94dca7f11e7ab19,gts1.zatnosk.dk,FALSE,1,1 to 5,18
11294,637dce7cfe3b46fa52403e13,activitypub.mnethome.de,FALSE,1,1 to 5,0
11295,639d0775ff98807ab2488532,philately.social,FALSE,57,51 to 150,3
11296,637b3193d94dca7f11e7bca1,moetz.social,FALSE,1,1 to 5,0
11297,637b3572d94dca7f11e7cc5c,mastodon.redstonelp2.com,FALSE,1,1 to 5,2
11298,6371f61f80bb3f03b435a5ad,mastodon.pathconnect.de,FALSE,3,1 to 5,1
11299,5cb3005c9dfe4526b19b9f16,openbiblio.social,FALSE,1517,1501 to 5000,5
11300,64106b6e45f2d2f1f9d00956,mastodon.nissesdomain.org,FALSE,3,1 to 5,3
11301,637b320ed94dca7f11e7be7d,radon.social,FALSE,2,1 to 5,0
11302,63838573872c508dd76d632c,playpen.social,FALSE,4,1 to 5,0
11303,65367fefc3f97b7767ecac95,fedi.ahfrom.synology.me,FALSE,1,1 to 5,18
11304,637b2b2aad72ace2dcf18d9a,cromulent.social,FALSE,6,6 to 15,0
11305,638892e3c6ef7e0cc11cb235,hannover.town,FALSE,29,16 to 50,5
11306,6608afbb90108452c79aa2f1,sakura.soccer,FALSE,1,1 to 5,0
11307,6387a08630da4400e766fed7,staging.mystical.garden,FALSE,2,1 to 5,0
11308,6671b6c4d520ff38038a2cd4,gts.villena.cl,FALSE,1,1 to 5,0
11309,63cb63ade38bee0966b159e9,social.jmenning.com,FALSE,3,1 to 5,0
11310,63a246f57ce181f087f53213,social.netz.org,FALSE,16,16 to 50,1
11311,63be028b8fcee29e666f07b5,social.jeronimo.dev.br,FALSE,1,1 to 5,0
11312,63cb639fe38bee0966b159ab,mastodon.mashi.ro,FALSE,2,1 to 5,5
11313,6530129849dd6872988c0d45,toot.kakurady.ca,FALSE,3,1 to 5,0
11314,637b224bad72ace2dcf165f5,history.lol,FALSE,20,16 to 50,4
11315,637b2cd4d94dca7f11e7a99c,mast.thomasdmn.net,FALSE,3,1 to 5,13
11316,637b303cd94dca7f11e7b739,fedisabled.social,FALSE,104,51 to 150,10
11317,638a3f0d9408000c8d60592b,weserbergland.social,FALSE,49,16 to 50,4
11318,65a1f24072aba03a13060c26,toot.selfy.social,FALSE,1,1 to 5,0
11319,63997100085abafa5caa889c,fed.hafs.in,FALSE,2,1 to 5,0
11320,64406d621a1e042cbd409740,demon.haus,FALSE,14,6 to 15,2
11321,637b3061d94dca7f11e7b7bf,social.cotman.info,FALSE,1,1 to 5,0
11322,63e54f90f803e2ce3e56b6a7,social.dsimon.com,FALSE,2,1 to 5,0
11323,65c8d53f5d95aa19287ad329,trapped.genoq.org,FALSE,2,1 to 5,18
11324,637b2c10d94dca7f11e7a651,shitpost.cloud,FALSE,181,151 to 500,0
11325,637b36fbd94dca7f11e7d2b3,m.banjo.camp,FALSE,1,1 to 5,4
11326,5cc7fe1cdfc53275389af7f2,mstdn.at,FALSE,20,16 to 50,7
11327,63b135aaf3bde21fd964de5f,q8masto.social,FALSE,1,1 to 5,0
11328,63cb5ec5bdcaf208a68219ce,chromachan.net,FALSE,4,1 to 5,1
11329,637b2cf9d94dca7f11e7aa2d,soapbox.midwaytrades.com,FALSE,4,1 to 5,0
11330,63d0c3c911e90bc4dd451e2f,chriswood.social,FALSE,1,1 to 5,0
11331,63af561da0bf40f0a93d91a7,stansells.org,FALSE,4,1 to 5,3
11332,637b337ed94dca7f11e7c2fb,social.bert.org,FALSE,1,1 to 5,0
11333,64b1c23d80754626ce3476c6,social.unboiled.info,FALSE,1,1 to 5,18
11334,637b2926ad72ace2dcf1843c,bunbers.org,FALSE,72,51 to 150,18
11335,65a1f23d72aba03a13060bc1,bitforged.social,FALSE,3,1 to 5,6
11336,63e305ab050e4f7f318a2cbf,social.rmrs.nl,FALSE,3,1 to 5,1
11337,655460d97c9d8748b263dcb4,smolhaj.social,FALSE,15,6 to 15,0
11338,640886dd700ca62360acb782,thefaith.social,FALSE,2,1 to 5,1
11339,65b25a277c297909c6f03936,gearpaws.com,FALSE,4,1 to 5,5
11340,637b2e84d94dca7f11e7b027,grafana.social,FALSE,82,51 to 150,1
11341,63ccb9e40f21af3391a01239,masto.koutoupis.com,FALSE,1,1 to 5,0
11342,63cb5e98bdcaf208a6821946,okde.me,FALSE,8,6 to 15,0
11343,63d0cee3bd5f07c6df48cc10,afcolegiado.app,FALSE,3,1 to 5,8
11344,637b2fe1d94dca7f11e7b5da,social.shrimp.faith,FALSE,5,1 to 5,0
11345,643626335dfa62abe24b3d14,mammut.cyou,FALSE,4,1 to 5,0
11346,642d67d1c1f28455859b87a5,fuzzbutt.link,FALSE,3,1 to 5,0
11347,663ee53fa3358fc26b118c4b,fedi.feministwiki.org,FALSE,2,1 to 5,0
11348,637b35b4d94dca7f11e7cd70,social.ions.sh,FALSE,2,1 to 5,0
11349,65102f54c5c1946fc500686c,mastodon.sponda.nl,FALSE,4,1 to 5,0
11350,6609a703c31763991c453fd3,syno.social,FALSE,3,1 to 5,0
11351,669a0f6bac114e3113c8e494,ma.suldomi.net,FALSE,15,6 to 15,3
11352,637c7aa76b4a184a3731883c,mastodon.waarisguus.com,FALSE,2,1 to 5,0
11353,64deedf55fb700af2f72b9ab,burnout.cafe,FALSE,4,1 to 5,29
11354,636ef9b380bb3f03b435a4e9,sunshinecoast.social,FALSE,2,1 to 5,1
11355,637b2136ad72ace2dcf161ec,fb.paulgeanta.com,FALSE,6,6 to 15,1
11356,646fbe5986dcafaecd2358e1,pix.nah.re,FALSE,2,1 to 5,6
11357,63a7c5d9d3fcb0518a7b451b,rama3.jp,FALSE,1,1 to 5,1
11358,668ba8c335cc2ee5463e8ab4,mastodon.cattail.uk,FALSE,2,1 to 5,0
11359,64c4bb8369dffa41e6f4d464,chatterchannel.social,FALSE,19,16 to 50,0
11360,637b2d46d94dca7f11e7ab56,handwave.org.uk,FALSE,1,1 to 5,0
11361,6384071429a2b666543e62d6,social.masto.land,FALSE,20,16 to 50,0
11362,652b962fa1178dbfea00ea92,colony.red,FALSE,7,6 to 15,0
11363,644db2bfe7cf6d15f6d226de,social.sinnesro.se,FALSE,1,1 to 5,1
11364,63daeca2af55f330d844f781,zarapito.cl,FALSE,15,6 to 15,5
11365,637806c6057570bcb618ba29,adhd.energy,FALSE,4,1 to 5,0
11366,637b2a42ad72ace2dcf18947,lily.network,FALSE,8,6 to 15,3
11367,665deae694ae2c8bc2c5ad19,social.atareao.es,FALSE,1,1 to 5,0
11368,637b2d6bd94dca7f11e7abfd,mescl.in,FALSE,4,1 to 5,0
11369,6493453052758b318eabf8f4,quietzero.net,FALSE,9,6 to 15,2
11370,651809323be12baabe7d850c,social.yey.nu,FALSE,2,1 to 5,0
11371,645910f86687b85f0f457df7,outside.ofa.dog,FALSE,59,51 to 150,18
11372,5beafd498c71f85048896ef6,social.seattle.wa.us,FALSE,646,501 to 1500,9
11373,637b1d2abaf9cf97b71f331f,hexadon.net,FALSE,76,51 to 150,2
11374,637b26b6ad72ace2dcf179f9,bookwyrm.lond.com.br,FALSE,1,1 to 5,18
11375,63a5b0e37b13c82dc9168d93,daotodon.me,FALSE,37,16 to 50,5
11376,5b42128385b9b91570c5277b,ouin.land,FALSE,6,6 to 15,0
11377,655d4f373452bdd5c8b1a081,social.dinoex.de,FALSE,2,1 to 5,0
11378,637b340dd94dca7f11e7c59e,doodeman.org,FALSE,1,1 to 5,0
11379,637b1d0dbaf9cf97b71f32a8,mstdn.wtsnjp.com,FALSE,1,1 to 5,1
11380,637b2571ad72ace2dcf17461,paws.moe,FALSE,8,6 to 15,0
11381,6496358f5b577fabb556dcc5,social.huginn.uk,FALSE,1,1 to 5,0
11382,65b0f4deff73c7e115720bc2,mstdn.manas.website,FALSE,1,1 to 5,1
11383,590296b20c4b3c46f854d280,mstdn-bike.net,FALSE,658,501 to 1500,4
11384,6366bbe280bb3f03b435a29b,toot.lgbt,FALSE,233,151 to 500,11
11385,637b23eaad72ace2dcf16d1b,pleroma.glueoh.com,FALSE,1,1 to 5,18
11386,5b45394bfa6236722f762a17,foo.sx,FALSE,3,1 to 5,0
11387,5b453df21ea87622b819cbe2,social.wilboard.nl,FALSE,4,1 to 5,0
11388,64717810d2b138f3982f2e97,fedida.com,FALSE,1,1 to 5,18
11389,63a3290fa5cf9c0369018cae,jakeromero.net,FALSE,1,1 to 5,0
11390,6551cf93547c06e502cacaf4,mostodon.de,FALSE,2,1 to 5,1
11391,637f7ee2cd25da7fbdfffc00,gts.motcha.tech,FALSE,1,1 to 5,0
11392,637b312bd94dca7f11e7bb07,maxpe.todon.de,FALSE,2,1 to 5,0
11393,637b2500ad72ace2dcf17223,social.u2s.cloud,FALSE,2,1 to 5,1
11394,63de6a2335ddb5cdffaedda6,sspaeth.de,FALSE,3,1 to 5,0
11395,63720b7a80bb3f03b435a5b1,maratang.life,FALSE,125,51 to 150,6
11396,642030d093030899472afb28,bookwyrm.fivest.one,FALSE,2,1 to 5,18
11397,638730ea256f2b5916eecc32,mastodon.freumh.org,FALSE,3,1 to 5,0
11398,63fa0ec4aab17f7f824a9046,netsphere.one,FALSE,41,16 to 50,0
11399,5a8a402eefd18a117ddd360a,abyss.fun,FALSE,487,151 to 500,3
11400,63ae94749c3a52dd14b46381,javabubble.social,FALSE,3,1 to 5,1
11401,662e5b14fa2ac81604d6fbf9,pixelfed.spiezmaestro.ch,FALSE,3,1 to 5,12
11402,641412fe8a2bd1534feec566,social.timstallard.me.uk,FALSE,1,1 to 5,0
11403,637b2b9dad72ace2dcf18f74,frequency.app,FALSE,38,16 to 50,5
11404,64c3b2a7b7d36418466b7189,social.sveken.au,FALSE,3,1 to 5,5
11405,661724a9848ec46ffa2bfe13,fedi.awoo.pet,FALSE,2,1 to 5,4
11406,6368f92180bb3f03b435a311,mastodon.jtl.vision,FALSE,4,1 to 5,1
11407,637b2fcbd94dca7f11e7b586,moth.zone,FALSE,74,51 to 150,0
11408,6361210c80bb3f03b435a1f9,drk.network,FALSE,55,51 to 150,13
11409,64f2061d6bfc3b76a9e26763,mastodon.bergen.social,FALSE,8,6 to 15,0
11410,5a698d4063008a32652b0001,mastodon.maho-do.jp,FALSE,5,1 to 5,0
11411,637b3129d94dca7f11e7baf8,mastodon.queensnkings.de,FALSE,4,1 to 5,3
11412,65a1f37c7af4893a39b61048,akkoma.pikaböl.se,FALSE,3,1 to 5,18
11413,65ee50f744b941d32122cff0,mastodon.mesolvarde.eu,FALSE,1,1 to 5,0
11414,652f95323443f95e2c9f6d5d,dogo.pictures,FALSE,1,1 to 5,0
11415,66423978a28a64b583d16ff3,noisesfrom.space,FALSE,1,1 to 5,0
11416,64a71ea1aa773368b9b98074,s.fyfy.eu.org,FALSE,1,1 to 5,0
11417,63e73beee2b7021038b5c95f,mastodon.setsuna.kr,FALSE,1,1 to 5,0
11418,6492b7b1af3f861a1106a384,odon.mast.zone,FALSE,1,1 to 5,1
11419,63f20e4a072b9f9d09e1a8ba,mastodon.bhop.zone,FALSE,9,6 to 15,5
11420,653c341047ff095e3b431752,mastodon.bosio.info,FALSE,2,1 to 5,1
11421,637b28cead72ace2dcf182a7,togethr.party,FALSE,1,1 to 5,18
11422,637b304ed94dca7f11e7b77b,motmot.cx,FALSE,4,1 to 5,0
11423,666e7155bbae54479f1e0d8c,pixelfed.acousticcloud.net,FALSE,1,1 to 5,0
11424,65ed02c54dc0d178a213b8b4,mastodon.bolha.dev,FALSE,1,1 to 5,0
11425,65a1f26172aba03a1306139b,social.toplap.org,FALSE,177,151 to 500,5
11426,637b25d9ad72ace2dcf1763b,daedal.io,FALSE,5,1 to 5,11
11427,637b2cb0d94dca7f11e7a8ff,mstdn.shalyu.run,FALSE,26,16 to 50,1
11428,6010a9b788f1bd03b0d0fea7,jako.social,FALSE,26,16 to 50,5
11429,65db92340367b4740ef32feb,m.aqra.farm,FALSE,1,1 to 5,0
11430,64cd4bf0b03df4d62621a43a,artsocial.boston,FALSE,5,1 to 5,17
11431,63de69d435ddb5cdffaeda6f,social.ynnx.eu,FALSE,1,1 to 5,0
11432,637b2bead94dca7f11e7a57f,trans.enby.town,FALSE,8,6 to 15,18
11433,666d7d022bebbbfe0565d175,social.nix2twink.gay,FALSE,1,1 to 5,0
11434,637b243ead72ace2dcf16e65,mastodon.finonet.de,FALSE,42,16 to 50,0
11435,637b364cd94dca7f11e7cfec,mastodon.zufki.de,FALSE,7,6 to 15,3
11436,64c9b67414d13d44bdf9a507,mstdn.bdms.ca,FALSE,2,1 to 5,1
11437,645c2841ad0c89d978f88dc1,mstdn.ditu.jp,FALSE,27,16 to 50,0
11438,637b34dbd94dca7f11e7c9aa,screamshitter.club,FALSE,2,1 to 5,18
11439,63afc7bcff5089fd19df5fc6,federated.place,FALSE,8,6 to 15,0
11440,64c97f381d1d1a3c3145de76,flowers.unit520.wtf,FALSE,1,1 to 5,0
11441,5b0c73b5c8ec996cd1ee7eb0,don.neso.tech,FALSE,6,6 to 15,0
11442,650a768585aa5978e809e8fb,mastodon.ttg6.net,FALSE,1,1 to 5,0
11443,637b337bd94dca7f11e7c2f0,masto.ford.id.au,FALSE,1,1 to 5,0
11444,63a3e05666766b0e40cf2355,sunrise.social,FALSE,4,1 to 5,0
11445,65a1f26972aba03a130614b3,ariesmc21.com,FALSE,4,1 to 5,1
11446,64c3bd03f0f8b619e1021057,cherrykitten.gay,FALSE,1,1 to 5,6
11447,661e338ac5a2d6785e460a6a,blog.lulurl.fr,FALSE,1,1 to 5,0
11448,64d35cf894cc2fcc39248828,mastodon.cowebapapa.nohost.me,FALSE,1,1 to 5,0
11449,637b24d6ad72ace2dcf1715f,apeiron.aire.ml,FALSE,2,1 to 5,0
11450,63e2930924e7fd6ee0a733fa,myke.social,FALSE,1,1 to 5,1
11451,64a27c801fd04ca9db64a895,grammar.jp,FALSE,1,1 to 5,0
11452,637b37fcd94dca7f11e7d721,gts.chocolatines.org,FALSE,1,1 to 5,0
11453,637b2ec7d94dca7f11e7b135,earthlings.social,FALSE,1,1 to 5,0
11454,6393fee6fdb660f6c17603f0,5lb.co,FALSE,4,1 to 5,0
11455,637b32fcd94dca7f11e7c0cf,social.europlus.zone,FALSE,6,6 to 15,10
11456,637b3348d94dca7f11e7c215,social.unextro.net,FALSE,2,1 to 5,0
